Date,Policy #,Queue,Mode,Email Sent,Notes
"Wednesday, January 6, 2016",VF52934630,Pay,Direct Annual,No,
"Thursday, January 7, 2016",VF52895530,Pay,Direct Annual,No,
"Thursday, January 7, 2016",VF52938240,Pay,Direct Quarterly,No,
"Thursday, January 7, 2016",VF52938200,Pay,Direct Annual,No,
"Friday, January 8, 2016",VF52874860,Pay,,,
"Friday, January 8, 2016",VF52913650,Pay,,,
"Friday, January 8, 2016",VF52903200,Pay,Monthly EFT,No,
"Friday, January 8, 2016",VF52895490,Pay,Monthly EFT,No,
"Friday, January 8, 2016",VF52930150,Pay,Monthly EFT,Yes,
"Friday, January 8, 2016",VF52926720,Pay,Direct Annual,No,
"Friday, January 8, 2016",VF52938760,Pay,Direct Quarterly,No,
"Monday, January 11, 2016",VF52918470,Pay,,,
"Monday, January 11, 2016",VF52933320,Pay,Direct Annual,No,
"Monday, January 11, 2016",VF52909660,Pay,ListBill,No,
"Monday, January 11, 2016",VF52921460,Pay,ListBill,No,
"Monday, January 11, 2016",VF52923890,Pay,Monthly EFT,Yes,
"Monday, January 11, 2016",VF52928650,Pay,ListBill,No,
"Monday, January 11, 2016",VF52924440,Pay,Monthly EFT,Yes,
"Monday, January 11, 2016",VF52918470,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52938270,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52921370,Pay,Direct Annual,No,
"Tuesday, January 12, 2016",VF52933200,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52919160,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52928450,Pay,Monthly EFT,,
"Wednesday, January 13, 2016",VF52925560,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52901770,Pay,Monthly EFT,Yes,
"Wednesday, January 13, 2016",VF52929920,Pay,Monthly EFT,No,
"Wednesday, January 13, 2016",VF52928450,Pay,Monthly EFT,No,
"Wednesday, January 13, 2016",VF52915720,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52936990,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52911770,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52906070,Pay EFT,Monthly EFT,Yes,
"Thursday, January 14, 2016",VF52901430,Pay,Direct Annual,No,
"Thursday, January 14, 2016",VF52938690,Pay,Direct Annual,No,
"Thursday, January 14, 2016",VF52928940,Pay,Direct Quarterly,No,
"Friday, January 15, 2016",VF52937810,Pay,Monthly EFT,Yes,
"Friday, January 15, 2016",VF52906020,Pay,Direct Annual,No,
"Friday, January 15, 2016",VF52901820,Pay,Direct Annual,No,
"Monday, January 25, 2016",VF52920380,Pay,Direct Annual,No,
"Monday, January 25, 2016",VF52932370,Pay,Monthly EFT,Yes,
"Monday, January 25, 2016",VF52930920,Pay,Monthly EFT,No,
"Monday, January 25, 2016",VF52927850,Pay EFT,Monthly EFT,No,
"Tuesday, January 26, 2016",VF52938310,Pay,Monthly EFT,Yes,
"Tuesday, January 26, 2016",VF52937820,Pay,Direct Annual,No,
"Tuesday, January 26, 2016",VF52914700,Pay EFT,Monthly EFT,No,
"Tuesday, January 26, 2016",VF52905950,Pay EFT,Monthly EFT,Yes,
"Tuesday, January 26, 2016",VF52942090,Pay,Direct Annual,No,
"Tuesday, January 26, 2016",VF52942090,Pay,Direct Annual,No,
"Wednesday, January 27, 2016",VF52937280,Pay,Direct Quarterly,No,
"Wednesday, January 27, 2016",VF52945490,Pay,Monthly EFT,No,
"Wednesday, January 27, 2016",VF52940170,Pay,Direct Annual,No,
"Wednesday, January 27, 2016",VF52925660,Pay,Monthly EFT,Yes,
"Thursday, January 28, 2016",VF52915380,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52933230,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52874190,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52934210,Pay EFT,Monthly EFT,Yes,
"Friday, January 29, 2016",VF52898930,Pay,Direct Annual,No,
"Friday, January 29, 2016",VF52906280,Pay,Direct Quarterly,No,
"Friday, January 29, 2016",VF52914620,Pay,ListBill,No,
"Friday, January 29, 2016",VF52935150,Pay,Monthly EFT,No,
"Friday, January 29, 2016",VF52910760,Pay EFT,Monthly EFT,Yes,
"Friday, January 29, 2016",VF52942900,Pay EFT,Monthly EFT,Yes,
"Monday, February 1, 2016",VF52915600,Pay,Monthly EFT,No,
"Monday, February 1, 2016",VF52929730,Pay,Monthly EFT,No,
"Monday, February 1, 2016",VF52892580,Pay,Monthly EFT,No,
"Wednesday, February 3, 2016",VF52937580,Pay,Monthly EFT,Yes,
"Wednesday, February 3, 2016",VF52938110,Pay,Direct Annual,No,
"Wednesday, February 3, 2016",VF52945390,Pay,ListBill,No,
"Wednesday, February 3, 2016",VF52935660,Pay,Monthly EFT,Yes,
"Thursday, February 4, 2016",VF52938450,Pay EFT,Monthly EFT,Yes,
"Friday, February 5, 2016",VF52938890,Pay,Direct Annual,No,
"Friday, February 5, 2016",VF52934430,Pay EFT, Monthly EFT,Yes,
"Monday, February 8, 2016",VF52925260,Pay,Monthly EFT,No,
"Monday, February 8, 2016",VF52937060,Pay,Direct Annual,No,
"Tuesday, February 9, 2016",VF52908390,Pay,Direct Annual,No,
"Wednesday, February 10, 2016",VF52931230,Pay,Monthly EFT,No,
"Wednesday, February 10, 2016",VF52918620,Pay EFT,Monthly EFT,No,
"Wednesday, February 10, 2016",VF52940420,Pay,Direct Annual,No,
"Wednesday, February 10, 2016",VF52929820,Pay,Direct Annual,No,
"Thursday, February 11, 2016",VF52915250,Pay,Direct Annual,No,
"Friday, February 12, 2016",VF52934310,Pay,Monthly EFT,Yes,
"Friday, February 12, 2016",VF52944630,Pay,Direct Annual,No,
"Friday, February 12, 2016",VF52932280,Pay,Monthly EFT,Yes,
"Tuesday, February 16, 2016",VF52891080,Pay,Monthly EFT,No,
"Tuesday, February 16, 2016",VF52937170,Pay,Monthly EFT,No,Day 2 Loan C/O
"Tuesday, February 16, 2016",VF52943210,Pay,Direct Annual,No,Case paid.Emailed PDF documents to Life CMU for PDF set up. Pending PDF receipt
"Wednesday, February 17, 2016",VF52944750,Pay,Quarterly EFT,Yes,
"Wednesday, February 17, 2016",VF52945790,Pay,Direct Annual,No,"Case paid. Title Confirm created. Fwded a copy w/ SPEND to office and producer. Mailing copies to the PO, insured, and producer"
"Wednesday, February 17, 2016",VF52939170,Pay,Direct Annual,No,"Case paid. Title Confirm created. Fwded a copy w/ SPEND to office and producer. Mailing copies to the PO, insured, and producer"
"Wednesday, February 17, 2016",VF52945450,Pay,Monthly EFT,No,
"Wednesday, February 17, 2016",VF52943490,Pay,Monthly EFT,Yes,
"Thursday, February 18, 2016",VF52913710,Pay,Direct Quarterly,No,Case paid. Term Conversion coversheet completed and emailed to Commission Change Leads. Holding for Day 2
"Thursday, February 18, 2016",VF52923040,Pay,Monthly EFT,Yes,
"Thursday, February 18, 2016",VF52945570,Pay EFT,Monthly EFT,Yes,
"Thursday, February 18, 2016",VF52890350,Pay,Direct Annual,Yes,"$500,000.00 applied ($326,622 dump in + $173,378.00 1st year premium). Emailed office confirming if the client would like to redate to the date the money was rcvd (2/18/2016). Will proceed once confirmation is received"
"Friday, February 19, 2016",VF52928680,Pay,Monthly EFT,Yes,
"Tuesday, February 23, 2016",VF52918290,Pay,Monthly EFT,No,
"Wednesday, February 24, 2016",VF52937320,Pay,Direct Annual,No,
"Wednesday, February 24, 2016",VF52886750,Pay,Direct Annual,No,"Case paid as of 2/24 in error. Reversed all funds and reapplied correctly as of 2/23 (date wire was rcvd). Notified Life Fin Recon of the same day reversal and requested to clear any out of balances. PDF Checklist, request form, illus, and funding grid sent to AFM"
"Thursday, February 25, 2016",VF52948920,Pay,Monthly EFT,No,
"Thursday, February 25, 2016",VF52948930,Pay,Monthly EFT,No,
"Thursday, February 25, 2016",VF52947130,Pay,Monthly EFT,No,
"Thursday, February 25, 2016",VF52927700,Pay,Direct Annual,No,
"Monday, February 29, 2016",VF52935700,Pay,Monthly EFT,No,
"Monday, February 29, 2016",VF52920780,Pay,Monthly EFT,No,
"Tuesday, March 1, 2016",VF52945210,Pay,Direct Annual,No,
"Tuesday, March 1, 2016",VF52932430,Pay,Direct Annual,No,
"Wednesday, March 2, 2016",VF52949480,Pay,Monthly EFT,No,
"Wednesday, March 2, 2016",VF52941560,Pay,Direct Quarterly,No,VF52941560 & VF52817310- Cases paid. Money applied as of 3/1/2016. Notified office that we only have 1 month COI for each policy. If we do not receive the EFT forms by 4/2 then the policies will grace
"Wednesday, March 2, 2016",VF52817310,Pay,Direct Quarterly,No,VF52941560 & VF52817310- Cases paid. Money applied as of 3/1/2016. Notified office that we only have 1 month COI for each policy. If we do not receive the EFT forms by 4/2 then the policies will grace
"Thursday, March 3, 2016",VF52942280,Pay,Direct Annual,No,
"Thursday, March 3, 2016",VF52924380,Pay EFT,Monthly EFT,Yes,
"Thursday, March 3, 2016",VF52936080,Pay,Direct Annual,No,
"Friday, March 4, 2016",VF52909460,Pay,Direct Quarterly,No,
"Monday, March 7, 2016",VF52940750,Pay,Direct Annual,No,
"Monday, March 7, 2016",VF52940160,Pay,Direct Annual,No,
"Tuesday, March 8, 2016",VF52954980,Pay,Monthly EFT,No,
"Tuesday, March 8, 2016",VF52930320,Pay,Direct Annual,No,
"Tuesday, March 8, 2016",VF52958240,Pay,Direct Annual,No,
"Wednesday, March 9, 2016",VF52919900,Pay,Monthly EFT,Yes,
"Wednesday, March 9, 2016",VF76043830,Pay,Direct Annual,No,
"Thursday, March 10, 2016",VF52933920,Pay,Monthly EFT,Yes,
"Friday, March 11, 2016",VF52948670,Pay,Monthly EFT,Yes,
"Friday, March 11, 2016",VF52934520,Pay,Listbill,No,
"Friday, March 11, 2016",VF52964290,Pay,Listbill,No,
"Tuesday, March 15, 2016",VF52960300,Pay,Monthly EFT,No,
"Wednesday, March 16, 2016",VF52947790,Pay,Monthly EFT,Yes,
"Thursday, March 17, 2016",VF52929200,Pay,Monthly EFT,No,
"Friday, March 18, 2016",VF52964470,Pay,Direct Annual,No,"CWA would violate 7pay. Emailed office confirming if the client would like the policy to MEC or if an excess premium refund is wanted ($672.00). Holding RR  // Per NBCOR(379584071), office would like to refund the excess premium. Initial payment reversed, applied premium amount of $1,783.10 (set to issue as of 3/11/2016). Case paid. Sending RR to Return Money queue to refund excess premium"
"Friday, March 18, 2016",VF52963400,Pay EFT,Monthly EFT,No,
"Tuesday, March 22, 2016",VF52930850,Pay EFT,Monthly EFT,Yes,
"Tuesday, March 22, 2016",VF52937270,Pay,Direct Annual,No,
"Wednesday, March 23, 2016",VF52944820,Pay EFT,Monthly EFT,Yes,
"Monday, March 28, 2016",VF52950700,Pay,Direct Annual,No,"Case paid. Copy of the PDF Checklist, PDF Form and PDF Illustration sent to AFM. Client signed new PDF request form so no verification of last year's prem adjustment is needed. Holding for PDF Receipt"
"Monday, March 28, 2016",VF52957790,Pay,Direct Annual,No,
"Tuesday, March 29, 2016",VF52931550,Pay,Monthly EFT,No,
"Tuesday, March 29, 2016",VF52947670,Pay,Direct Annual,No,
"Tuesday, March 29, 2016",VF52905770,Pay,Monthly EFT,No,
"Tuesday, March 29, 2016",VF52957410,Pay,Direct Annual,No,
"Tuesday, March 29, 2016",VF52960700,Pay,Direct Annual,No,
"Tuesday, March 29, 2016",VF52952000,Pay,Monthly EFT,Yes,
"Wednesday, March 30, 2016",VF52963710,Pay,Direct Annual,No,
"Wednesday, March 30, 2016",VF52963940,Pay,Direct Annual,No,
"Wednesday, March 30, 2016",VF52916270,Pay EFT,Monthly EFT,No,
"Friday, April 1, 2016",VF52957180,Pay EFT,Direct Semi-Annual,Yes,
"Friday, April 1, 2016",VF52929900,Pay,Direct Annual,No,
"Friday, April 1, 2016",VF52945240,Pay EFT,ListBill,Yes,
"Friday, April 1, 2016",VF52965480,Pay,ListBill,No,
"Friday, April 1, 2016",VF52949090,Pay,Direct Quarterly,No,
"Friday, April 1, 2016",VF52954420,Pay EFT,Monthly EFT,No,
"Wednesday, April 6, 2016",VF52948260,Pay,Direct Annual,No,
"Monday, April 11, 2016",VF52947830,Pay,Direct Quarterly,No,
"Monday, April 11, 2016",VF52944590,Pay,Monthly EFT,No,
"Monday, April 11, 2016",VF52947490,Pay,Direct Annual,No,
"Monday, April 11, 2016",VF52913730,Pay,Direct Annual,No,Case paid. Day 1 loan carryover completed
"Wednesday, April 13, 2016",VF52922200,Pay,Direct Annual,No,
"Thursday, April 14, 2016",VF52950690,Pay,Direct Annual,No,
"Thursday, April 21, 2016",VF52952220,Pay,Direct Annual,No,
"Thursday, April 21, 2016",VF52935240,Pay,Direct Annual,No,
"Friday, April 22, 2016",VF52957950,Pay EFT,Monthly EFT,Yes,
"Thursday, April 28, 2016",VF52964080,Pay,Direct Annual,No,
"Thursday, April 28, 2016",VF52963130,Pay,Direct Annual,No,
"Thursday, April 28, 2016",VF52961950,Pay,Direct Annual,No,
"Friday, April 29, 2016",VF52923120,Pay,Direct Annual,No,
"Friday, April 29, 2016",VF52972640,Pay,Direct Annual,No,
"Friday, April 29, 2016",VF52979270,Pay,Monthly EFT,No,
"Monday, May 2, 2016",VF52957950,Pay EFT,Monthly EFT,Yes,
"Wednesday, May 4, 2016",VF52955850,Pay,Direct Annual,No,
"Thursday, May 5, 2016",VF52947940,Pay,Direct Annual,No,
"Thursday, May 5, 2016",VF52957950,Pay,Monthly EFT,Yes,
"Friday, May 6, 2016",VF52962470,Pay,Listbill,No,
"Friday, May 6, 2016",VF52930950,Pay EFT,Direct Annual,Yes,
"Monday, May 9, 2016",VF52936600,Pay EFT,Monthly EFT,Yes,
"Monday, May 9, 2016",VF52951660,Pay EFT,Monthly EFT,Yes,
"Wednesday, May 11, 2016",VF52928990,Pay EFT,Monthly EFT,Yes,
"Thursday, May 12, 2016",VF52964770,Pay EFT,Monthly EFT,Yes,
"Monday, May 16, 2016",VF52931650,Pay,Monthly EFT,Yes,
"Tuesday, May 17, 2016",VF52965210,Pay,Monthly EFT,Yes,
"Thursday, May 19, 2016",VF52978440,Pay,Direct Annual,No,
"Friday, May 20, 2016",VF52951200,Pay,Listbill,No,
"Friday, May 20, 2016",VF52958440,Pay,Listbill,No,
"Tuesday, May 24, 2016",VF52965590,Pay,Direct Annual,No,
"Tuesday, May 24, 2016",VF52945890,Pay,Monthly EFT,Yes,
"Wednesday, May 25, 2016",VF52941920,Pay,Direct Annual,No,
"Thursday, May 26, 2016",VF52969770,Pay EFT,Monthly EFT,Yes,
"Friday, May 27, 2016",VF52970460,Pay,Monthly EFT,Yes,
"Friday, May 27, 2016",VF52969710,Pay,Direct Annual,No,
"Friday, May 27, 2016",VF52975790,Pay,Monthly EFT,Yes,
"Wednesday, June 1, 2016",VF52964770,Pay EFT,Monthly EFT,No,
"Wednesday, June 8, 2016",VF52978970,Pay,Monthly EFT,No,Case paid. Draft date change letter created and mailed. Copy sent to office. Case paid. Term Conversion coversheet completed and emailed to Commission Change Leads. Holding for Day 2
"Friday, June 10, 2016",VF52977070,Pay,Monthly EFT,Yes,
"Friday, June 10, 2016",VF52971160,Pay,Direct Annual,No,
"Friday, June 10, 2016",VF52978270,Pay,Direct Annual,No,
"Wednesday, June 15, 2016",VF52982550,Pay EFT,Direct Annual,Yes,
"Friday, June 17, 2016",VF52950410,Pay EFT,Monthly EFT,Yes,
"Friday, June 17, 2016",VF52983020,Pay,Direct Annual,No,
"Friday, June 17, 2016",VF52978360 ,Pay,Direct Annual,No,
"Friday, June 17, 2016",VF52979680,Pay,Direct Annual,No,"Discrepancy with illus and system. Illus shows Premier Living Benefits Rider as added, but system shows it is declined. Spoke to Nancy. Was told to not pay the case until further notice"
"Thursday, June 23, 2016",VF52980980,Pay,Direct Annual,No,
"Friday, June 24, 2016",VF52962130,Pay,Direct Annual,No,
"Monday, June 27, 2016",VF52962130,Pay,Direct Annual,No,Case paid. PDF documents sent to Life CMU for PDF set up
"Tuesday, June 28, 2016",VF52989400,Pay,Direct Annual,No,
"Thursday, June 30, 2016",VF52983990,Pay,Monthly EFT,Yes,
"Friday, July 1, 2016",VF52992300,Pay EFT,Monthly EFT,Yes,
"Friday, July 1, 2016",VF52991510,Pay EFT,Monthly EFT,Yes,
"Tuesday, July 5, 2016",VF52985870,Pay EFT,Monthly EFT,Yes,
"Tuesday, July 5, 2016",VF52985880,Pay EFT,Monthly EFT,Yes,
"Wednesday, July 6, 2016",VF52962360,Pay,Direct Annual,No,
"Thursday, July 7, 2016",VF52964320,Pay,Monthly EFT,Yes,
"Thursday, July 7, 2016",VF52993580,Pay,Monthly EFT,No,
"Thursday, July 7, 2016",VF52982360,Pay EFT,Monthly EFT,Yes,
"Friday, July 8, 2016",VF52977980,Pay EFT,Monthly EFT,Yes,
"Friday, July 8, 2016",VF52978600,Pay,Monthly EFT,Yes,
"Tuesday, July 12, 2016",VF52962390,Pay,Direct Annual,No,
"Tuesday, July 12, 2016",VF52988690,Pay,Direct Annual,No,
"Tuesday, July 12, 2016",VF52965310,Pay,Direct Quarterly,No,Case paid temporarily on direct quarterly (producer is earned). Day 1 loan carryover completed
"Tuesday, July 12, 2016",VF52961770,Pay EFT,Monthly EFT,No,
"Tuesday, July 12, 2016",VF52991560,Pay EFT,Direct Annual,No,
"Tuesday, July 12, 2016",VF52991860,Pay,Direct Quarterly,No,Case paid temporarily on direct quarterly (producer is earned). Day 1 term conversion completed
"Wednesday, July 13, 2016",VF52965310,Pay,Direct Quarterly,No,Day 2 loan carryover completed
"Wednesday, July 13, 2016",VF52962390,Pay EFT,Direct Annual,Yes,
"Wednesday, July 13, 2016",VF52973100,Pay EFT,Direct Quarterly,Yes,
"Wednesday, July 13, 2016",VF52966230,Pay,Monthly EFT,No,
"Wednesday, July 13, 2016",VF52986920,Pay,Direct Annual,No,
"Wednesday, July 13, 2016",VF52966070,Pay EFT,Monthly EFT,Yes,
"Thursday, July 14, 2016",VF52957930,Pay EFT,Monthly EFT,No,
"Thursday, July 14, 2016",VF52988700,Pay EFT,Monthly EFT,Yes,
"Thursday, July 21, 2016",VF52980770,Pay EFT,Monthly EFT,Yes,
"Thursday, July 21, 2016",VF52992060,Pay,Direct Annual,No,
"Monday, July 25, 2016",VF52991130,Pay,Direct Annual,No,
"Tuesday, July 26, 2016",VF53001130,Pay EFT,Monthly EFT,No,
"Tuesday, July 26, 2016",VF53001120,Pay EFT,Monthly EFT,No,
"Tuesday, July 26, 2016",VF52954820,Pay EFT,Monthly EFT,No,"Case temporarily paid on direct quarterly mode. EFT confirm not sent, as no email was provided. Notified office that we must receive additional premium or the EFT form w/ option 3 selected by 9/22/2016 or else the policy will grace. Emailed office confirming if they would like to change the payor to Rosary LLC, as it is the account used on the EFT form"
"Thursday, July 28, 2016",VF76046480,Pay EFT,Monthly EFT,Yes,
"Thursday, July 28, 2016",VF53004800,Pay,Monthly EFT,No,
"Friday, July 29, 2016",VF52990810,Pay,Direct Annual,No,
"Friday, July 29, 2016",VF52990660,Pay,Direct Annual,No,
"Friday, July 29, 2016",VF52994450 ,Pay,Direct Annual,No,
"Friday, July 29, 2016",VF52994460 ,Pay,Direct Annual,No,
"Friday, July 29, 2016",VF52966940,Pay,Monthly EFT,No,
"Friday, July 29, 2016",VF52986450,Pay EFT,Monthly EFT,Yes,
"Friday, July 29, 2016",VF52994110,Pay EFT,Monthly EFT,Yes,
"Monday, August 1, 2016",VF52985790,Pay,Monthly EFT,Yes,
"Tuesday, August 2, 2016",VF52992780,Pay,Direct Quarterly,No,
"Tuesday, August 2, 2016",VF52976370,Pay,Direct Annual,No,
"Tuesday, August 2, 2016",VF52986240,Pay,Direct Annual,No,
"Tuesday, August 2, 2016",VF52970320,Pay EFT,Monthly EFT,Yes,
"Thursday, August 4, 2016",VF52982850,Pay,Monthly EFT,No,
"Thursday, August 4, 2016",VF52985140,Pay,Monthly EFT,No,
"Friday, August 5, 2016",VF52998760,Pay,Monthly EFT,No,
"Monday, August 8, 2016",VF52997730,Pay,Direct Annual,No,
"Tuesday, August 9, 2016",VF52975020,Pay,Monthly EFT,Yes,
"Tuesday, August 9, 2016",VF52974940,Pay,Monthly EFT,Yes,
"Wednesday, August 10, 2016",VF52966400,Pay,Monthly EFT,Yes,
"Wednesday, August 10, 2016",VF53000360,Pay,Direct Annual,No,
"Thursday, August 11, 2016",VF52939880,Pay,Monthly EFT,Yes,
"Thursday, August 11, 2016",VF53003400,Pay,Monthly EFT,No,
"Thursday, August 11, 2016",VF53005130,Pay EFT,Monthly EFT,Yes,
"Thursday, August 11, 2016",VF52988950,Pay,Monthly EFT,No,
"Thursday, August 11, 2016",VF53004560,Pay,Monthly EFT,Yes,
"Friday, August 12, 2016",VF52998060,Pay,Monthly EFT,No,
"Friday, August 12, 2016",VF52989280,Pay,Direct Annual,No,
"Friday, August 12, 2016",VF52986900,Pay EFT,Direct Annual,No,
"Tuesday, August 16, 2016",VF52997800,Pay,Monthly EFT,Yes,
"Tuesday, August 16, 2016",VF52987790,Pay,Monthly EFT,Yes,
"Wednesday, August 17, 2016",VF52994520,Pay,Monthly EFT,Yes,
"Monday, August 22, 2016",VF52968790,Pay,Monthly EFT,No,
"Thursday, August 25, 2016",VF52977260,Pay,Monthly EFT,No,
"Wednesday, August 31, 2016",VF52984200,Pay,Monthly EFT,Yes,
"Wednesday, August 31, 2016",VF52989500,Pay,Monthly EFT,Yes,
"Tuesday, September 13, 2016",VF52987970,Pay,Monthly EFT,Yes,
"Tuesday, September 13, 2016",VF53014610,Pay,Listbill,No,
"Thursday, September 15, 2016",VF52987450,Pay,Listbill,No,
"Friday, September 16, 2016",VF53003510,Pay,Monthly EFT,Yes,
"Friday, September 16, 2016",VF53002560,Pay,Direct Annual,No,
"Friday, September 16, 2016",VF53014610,Pay,Listbill,No,
"Monday, September 19, 2016",VF52978460,Pay EFT,Monthly EFT,Yes,
"Thursday, September 29, 2016",VF52962240,Pay EFT,Monthly EFT,Yes,
"Thursday, September 29, 2016",VF52945650,Pay EFT,Direct Quarterly,No,
"Monday, October 3, 2016",VF53007300,Pay,Monthly EFT,Yes,
"Wednesday, October 5, 2016",VF52990780,Pay,Monthly EFT,Yes,
"Wednesday, October 5, 2016",VF53007990,Pay,Monthly EFT,Yes,
"Thursday, October 6, 2016",VF52994620,Pay,Monthly EFT,Yes,
"Thursday, October 6, 2016",VF53007440,Pay,Monthly EFT,Yes,
"Wednesday, October 12, 2016",VF52988330,Pay,Monthly EFT,Yes,
"Wednesday, October 12, 2016",VF52997460,Pay,Direct Annual,No,
"Wednesday, October 12, 2016",VF53021230,Pay,Direct Quarterly,No,
"Thursday, October 13, 2016",VF53017120,Pay,Monthly EFT,Yes,
"Thursday, October 13, 2016",VF53005410,Pay,Monthly EFT,No,
"Friday, October 14, 2016",VF53010610,Pay,Monthly EFT,Yes,
"Friday, October 14, 2016",VF53012630,Pay,Direct Annual,No,
"Friday, October 14, 2016",VF53026210,Pay EFT,Direct Quarterly,No,
"Tuesday, October 18, 2016",VF53014990,Pay,Monthly EFT,No,
"Tuesday, October 18, 2016",VF52994720,Pay,Direct Quarterly,No,
"Tuesday, October 18, 2016",VF53018970,Pay,Direct Annual,No,
"Tuesday, October 18, 2016",VF53002720,Pay,Monthly EFT,Yes,
"Thursday, October 27, 2016",VF53015660,Pay,Direct Annual,No,
"Monday, October 31, 2016",VF53032260,Pay,Direct Annual,No,
"Monday, October 31, 2016",VF53032370,Pay,Direct Annual,No,
"Monday, October 31, 2016",VF53003780,Pay,Monthly EFT,Yes,
"Tuesday, November 1, 2016",VF53009190,Pay,Monthly EFT,No,
"Tuesday, November 1, 2016",VF53028900,Pay,Monthly EFT,Yes,
"Tuesday, November 1, 2016",VF53009580,Pay,Monthly EFT,No,
"Tuesday, November 1, 2016",VF52991310,Pay,Monthly EFT,Yes,
"Wednesday, November 2, 2016",VF53015720,Pay,Monthly EFT,No,
