Date,Policy #,Queue
"Friday, April 14, 2017",VF53045590,EAP update
"Friday, April 14, 2017",VP66277170,No redate letter
"Monday, April 17, 2017",VP66285470,EFT set up
"Tuesday, April 18, 2017",VP66278150,Allocation update
"Tuesday, April 18, 2017",VF53090350,EFT set up
"Wednesday, April 19, 2017",VF53065120,No redate letter
"Wednesday, April 19, 2017",VF53065110,No redate letter
"Wednesday, April 19, 2017",VF53081360,EAP update
"Wednesday, April 19, 2017",VF53058520,EAP update
"Thursday, April 20, 2017",VF53014720,EFT set up
"Thursday, April 20, 2017",VF53069350,EFT set up
"Thursday, April 20, 2017",VP66279150,EFT set up
"Friday, April 21, 2017",VF53078380,EAP update
"Monday, April 24, 2017",VF53074870,EFT set up
"Tuesday, April 25, 2017",VF53040500,EAP update
"Thursday, April 27, 2017",VF53086040,EFT set up
"Thursday, April 27, 2017",VF53045810,EFT set up
"Thursday, April 27, 2017",VF53073110,EAP update
"Thursday, April 27, 2017",VF53058800,No redate letter
"Monday, May 1, 2017",VF53075470,Allocation update
"Tuesday, May 2, 2017",VF53059720,EAP update
"Tuesday, May 2, 2017",VF53066230,No redate letter
"Wednesday, May 3, 2017",VF53042580,EAP update
"Wednesday, May 3, 2017",VF53062230,EFT set up
"Wednesday, May 3, 2017",VF53061590,EFT set up
"Wednesday, May 3, 2017",VF53076520,EFT set up
"Thursday, May 4, 2017",VF53073420,EAP update
"Thursday, May 4, 2017",VF53088510,No redate letter
"Thursday, May 4, 2017",VP66275170,One-Time Rebalancing
"Thursday, May 4, 2017",VP66275180,One-Time Rebalancing
"Friday, May 5, 2017",VP66275160,One-Time Rebalancing
"Friday, May 5, 2017",VF53092920,EAP update
"Tuesday, May 9, 2017",VF53071380,EFT set up
"Tuesday, May 9, 2017",VF53057980,EFT set up
"Tuesday, May 9, 2017",VF53040830,EFT set up
"Thursday, May 11, 2017",VF53091230,EAP update
"Thursday, May 11, 2017",VF53069300,EFT set up
"Monday, May 15, 2017",VF53063900,EAP update
"Monday, May 15, 2017",VF53030640,EAP update
"Wednesday, May 17, 2017",VF53077060,EAP update
"Wednesday, May 17, 2017",VF53098420,EAP update
"Wednesday, May 17, 2017",VF53077070,EAP update
"Wednesday, May 17, 2017",VF53039670,EFT set up
"Friday, May 19, 2017",VF53067270,EAP update
"Friday, May 19, 2017",VF53086520,No redate letter
"Monday, May 22, 2017",VF53049610,EFT set up
"Monday, May 22, 2017",VP66278130,One-Time Rebalancing
"Tuesday, May 23, 2017",VF53063310,EAP update
"Wednesday, May 24, 2017",VF53075980,EFT set up
"Friday, May 26, 2017",VF53097060,EFT set up
"Friday, May 26, 2017",VF53089020,EFT set up
"Tuesday, May 30, 2017",VF53070670,EFT set up
"Monday, June 5, 2017",VF53085190,EFT set up
"Monday, June 12, 2017",VF53095920,EFT set up
"Monday, June 12, 2017",VF53067980,No redate letter
"Monday, June 12, 2017",VF53074110,EFT set up
"Tuesday, June 13, 2017",VF53070740,EFT set up
"Thursday, June 15, 2017",VF53070540,EFT set up
"Thursday, June 15, 2017",VF53117120,EFT set up
"Thursday, June 15, 2017",VF53100420,EFT set up
"Friday, June 16, 2017",VF53078180,EFT set up
"Friday, June 23, 2017",VF53079730,EFT set up
"Friday, June 23, 2017",VF53115200,Mode update
"Friday, June 30, 2017",VF53109190,EFT set up
"Thursday, July 6, 2017",VF53105150,EFT set up
"Friday, July 7, 2017",VF53096280,EFT set up
"Monday, July 10, 2017",VF53104790,Allocation update
"Tuesday, July 11, 2017",VF53086260,No redate letter
"Friday, July 14, 2017",VF53101500,EFT set up
"Friday, July 14, 2017",VF53102790,EFT set up
"Friday, July 14, 2017",VF53097460,EFT set up
"Monday, July 17, 2017",VF53102710,EFT set up
"Tuesday, July 18, 2017",VF53115450,EFT set up
"Saturday, July 22, 2017",VF53121470,EAP update
"Tuesday, July 25, 2017",VF53123030,Mode update
"Tuesday, July 25, 2017",VF53075990,EAP update
"Thursday, July 27, 2017",VF53135050,EAP update
"Thursday, July 27, 2017",VF53083050,EFT set up
"Monday, July 31, 2017",VF53101480,Mode update
"Monday, July 31, 2017",VF53123620,Mode update
"Thursday, August 3, 2017",VF53064870,Mode update
"Monday, August 7, 2017",VF53124220,Mode update
"Tuesday, August 8, 2017",VF53124930,EFT set up
"Friday, August 11, 2017",VF53133550,EAP update
"Friday, August 11, 2017",VF53086060,EFT set up
"Wednesday, August 16, 2017",VF53099140,EFT set up
"Thursday, August 17, 2017",VF53118270,EFT set up
"Thursday, August 17, 2017",VF53118260,EFT set up
"Thursday, August 17, 2017",VF53124290,EFT set up
"Friday, August 25, 2017",VF53057080,EFT set up
"Friday, September 1, 2017",VF53101560,EAP update
"Monday, September 11, 2017",VF53128500,No redate letter
"Monday, September 11, 2017",VF53146640,EFT set up
"Saturday, August 12, 2017",VF53152190,No redate letter
"Saturday, August 12, 2017",VF53142140,No redate letter
"Friday, September 22, 2017",VF53124310,EFT set up
"Monday, October 2, 2017",VF53126850,EFT set up
"Tuesday, October 17, 2017",VF53159020,Mode update
"Friday, November 10, 2017",VF53169080,EFT set up
"Tuesday, November 21, 2017",VF53163940,EFT set up
"Tuesday, November 28, 2017",VF53164760,EFT set up
"Friday, December 1, 2017",VF53170490,EFT set up
"Thursday, December 7, 2017",VF53142890,Mode update
"Friday, December 8, 2017",VF53186540,EAP update
"Wednesday, December 13, 2017",VF53164750,EFT update & no redate letter
"Wednesday, December 13, 2017",VF53164770,EFT update & no redate letter
"Tuesday, December 19, 2017",VF53192650,EFT set up
"Tuesday, December 19, 2017",VF53141810,EFT set up
"Tuesday, December 19, 2017",VF53128600,No redate letter
"Tuesday, December 19, 2017",VF53128600,No redate letter
"Tuesday, December 19, 2017",VF53208330,EFT set up
"Thursday, December 28, 2017",VF53183890,EFT set up
"Wednesday, January 3, 2018",VF53173080,EFT set up
"Wednesday, January 3, 2018",VF53200190,EAP update
"Wednesday, January 3, 2018",VF53194920,EAP update
"Wednesday, January 3, 2018",VF53169240,EFT set up
"Friday, January 5, 2018",VF53164850,No redate letter
"Thursday, January 11, 2018",VF53168990,EFT set up
"Tuesday, January 16, 2018",VF53167660,EFT set up
"Tuesday, February 13, 2018",VF53191110,Mode update & EFT set up
"Wednesday, February 14, 2018",VF53184950,Mode update
"Thursday, February 15, 2018",VF53230950,Mode update
"Thursday, February 15, 2018",VF53198050,Mode update & EFT set up
"Thursday, February 15, 2018",VF53230430,PDF
"Monday, March 12, 2018",VF53153710,EFT set up
"Monday, March 19, 2018",VF53191450,EFT set up
"Monday, March 26, 2018",VF53235290,EFT set up
"Monday, March 26, 2018",VF53169260,EFT set up
"Wednesday, March 28, 2018",VP66302040,One-Time Rebalancing
"Wednesday, March 28, 2018",VF53190720,Allocation update
"Wednesday, March 28, 2018",VF53105290,EFT set up
"Monday, April 2, 2018",VF53218250,EFT set up
"Monday, April 2, 2018",VF53220290,EFT set up
"Wednesday, April 11, 2018",VF53219550,EAP update
"Monday, April 16, 2018",VP66305290,No redate letter
"Wednesday, May 23, 2018",VF53203240,EFT set up
"Wednesday, May 30, 2018",VF53237550,EFT set up
"Wednesday, May 30, 2018",VF53218550,EFT set up
"Monday, June 11, 2018",VF53296450,EFT set up
