DATE,POLICY,DETAILS
"Tuesday, January 27, 2015",VF52813170,Return TIA
"Tuesday, January 27, 2015",VF52789400,Return TIA
"Tuesday, January 27, 2015",VF52788840,Return TIA
"Tuesday, January 27, 2015",VF52799530,Decline
"Tuesday, January 27, 2015",VF52803610,Decline
"Tuesday, January 27, 2015",VF52811620,Decline
"Tuesday, January 27, 2015",VF52801920,Decline
"Wednesday, January 28, 2015",VF52800930,Decline
"Wednesday, January 28, 2015",VF52818840,Return TIA
"Wednesday, January 28, 2015",VF52808120,Decline
"Wednesday, January 28, 2015",VF52804290,Return TIA
"Wednesday, January 28, 2015",VF52810620,Decline
"Wednesday, January 28, 2015",VF52816670,Decline
"Wednesday, January 28, 2015",VF52822810,Return TIA
"Thursday, January 29, 2015",VF52783190,Return TIA
"Thursday, January 29, 2015",VF52783180,Return TIA
"Friday, January 30, 2015",VF52791460,Return TIA
"Friday, January 30, 2015",VF52793830,Return TIA
"Friday, January 30, 2015",VF52817370,Decline
"Friday, January 30, 2015",VF52810510,Decline
"Tuesday, February 3, 2015",VF52789670,Return TIA
"Tuesday, February 3, 2015",VF52812800,Decline
"Wednesday, February 4, 2015",VF52818770,Return TIA
"Wednesday, February 4, 2015",VF52790670,Return TIA
"Wednesday, February 4, 2015",VF52789280,Return TIA
"Wednesday, February 4, 2015",VF52814540,Decline
"Wednesday, February 4, 2015",VF52796960,Decline
"Wednesday, February 4, 2015",VF52805400,Decline
"Wednesday, February 4, 2015",VF52804710,Decline
"Wednesday, February 4, 2015",VF52819120,Decline
"Monday, February 9, 2015",VF52785740,Return TIA
"Monday, February 9, 2015",VF52792520,Return TIA
"Monday, February 9, 2015",VF52793930,Return TIA
"Monday, February 9, 2015",VF52794190,Return TIA
"Monday, February 9, 2015",VF52807450,Decline
"Monday, February 9, 2015",VF52807040,Decline
"Tuesday, February 10, 2015",VF52795380,Decline
"Tuesday, February 10, 2015",VF52817960,Decline
"Tuesday, February 10, 2015",VF52821780,Decline
"Tuesday, February 10, 2015",VF52793660,Return TIA
"Wednesday, February 11, 2015",VF52795660,Return TIA
"Wednesday, February 11, 2015",VF52796550,Return TIA
"Wednesday, February 11, 2015",VF52795620,Decline
"Wednesday, February 11, 2015",VF52798120,Decline
"Wednesday, February 11, 2015",VF52783090,Decline
"Wednesday, February 11, 2015",VF52810070,Decline
"Thursday, February 12, 2015",VF52802080,Decline
"Thursday, February 12, 2015",VF52776510,Return TIA
"Thursday, February 12, 2015",VF52800210,Return TIA
"Wednesday, February 18, 2015",VF52797310,Return TIA
"Wednesday, February 18, 2015",VF52795300,Return TIA
"Wednesday, February 18, 2015",VF52794810,Return TIA
"Wednesday, February 18, 2015",VF52794710,Return TIA
"Wednesday, February 18, 2015",VF52792450,Return TIA
"Monday, February 23, 2015",VF76042350,Return TIA
"Monday, February 23, 2015",VF52802260,Return TIA
"Tuesday, February 24, 2015",VF52764060,Return TIA
"Tuesday, February 24, 2015",VF52814970,Return TIA
"Tuesday, February 24, 2015",VF52797210,Return TIA
"Tuesday, February 24, 2015",VF52815070,Return TIA
"Tuesday, February 24, 2015",VF52798030,Return TIA
"Tuesday, February 24, 2015",VF52798770,Return TIA
"Tuesday, February 24, 2015",VF52815100,Return TIA
"Tuesday, February 24, 2015",VF52800810,Return TIA
"Wednesday, February 25, 2015",VF52829090,Return TIA
"Wednesday, February 25, 2015",VF52822600,Return TIA
"Wednesday, February 25, 2015",VF52822550,Return TIA
"Wednesday, February 25, 2015",VF52822950,Return TIA
"Wednesday, February 25, 2015",VF52822960,Return TIA
"Wednesday, February 25, 2015",VF52818320,Return TIA
"Wednesday, February 25, 2015",VF52792990,Return TIA
"Wednesday, February 25, 2015",VF52792960,Return TIA
"Thursday, February 26, 2015",VF52800880,Return TIA
"Friday, February 27, 2015",VF52824510,Decline
"Tuesday, March 3, 2015",VF52816600,Decline
"Wednesday, March 4, 2015",VF52817840,Decline
"Wednesday, March 4, 2015",VF52794820,Decline
"Thursday, March 5, 2015",VF52806150,Return TIA
"Thursday, March 5, 2015",VF52810650,Decline
"Friday, March 6, 2015",VF52803420,Return TIA
"Friday, March 6, 2015",VF52793020,Return TIA
"Friday, March 6, 2015",VF52796250,Return TIA
"Tuesday, March 10, 2015",VF52801030,Return TIA
"Tuesday, March 10, 2015",VF52803930,Return TIA
"Wednesday, March 11, 2015",VF52764080,Return TIA
"Wednesday, March 11, 2015",VF52815340,Decline
"Wednesday, March 11, 2015",VF52820230,Decline
"Wednesday, March 11, 2015",VF52806070,Return TIA
"Wednesday, March 11, 2015",VF52807340,Return TIA
"Thursday, March 12, 2015",VF52796410,Return TIA
"Thursday, March 12, 2015",VF52815960,Decline
"Friday, March 13, 2015",VF52832800,Decline
"Monday, March 16, 2015",VF52808130,Return TIA
"Monday, March 16, 2015",VF52827820,Return TIA
"Monday, March 16, 2015",VF52822580,Decline
"Monday, March 16, 2015",VF52798020,Decline
"Monday, March 16, 2015",VF52835680,Decline
"Tuesday, March 17, 2015",VF52822950,Decline
"Tuesday, March 17, 2015",VF52822960,Decline
"Tuesday, March 17, 2015",VF52788600,Return TIA
"Tuesday, March 17, 2015",VF52818690,Decline
"Thursday, March 19, 2015",VF52834750,Decline
"Friday, March 20, 2015",VF52813660,Return TIA
"Monday, March 23, 2015",VF52796310,Return TIA
"Monday, March 23, 2015",VF52839410,Return TIA
"Monday, March 23, 2015",VF52832160,Return TIA
"Monday, March 23, 2015",VF52830160,Return TIA
"Monday, March 23, 2015",VF52801980,Return TIA
"Wednesday, March 25, 2015",VF52838370,Decline
"Friday, March 27, 2015",VF52839630,Return TIA
"Friday, March 27, 2015",VF52815580,Return TIA
"Friday, March 27, 2015",VF52796470,Return TIA
"Tuesday, March 31, 2015",VF52833850,Return TIA
"Tuesday, March 31, 2015",VF52839560,Return TIA
"Tuesday, March 31, 2015",VF52840470,Return TIA
"Tuesday, March 31, 2015",VF52818560,Decline
"Tuesday, March 31, 2015",VF52824520,Decline
"Tuesday, March 31, 2015",VF52842780,Return TIA
"Tuesday, March 31, 2015",VF52829250,Decline
"Tuesday, March 31, 2015",VF52843490,Decline
"Thursday, April 2, 2015",VF52816720,Decline
"Thursday, April 2, 2015",VF52844230,Decline
"Friday, April 3, 2015",VF52838950,Decline
"Friday, April 3, 2015",VF52838830,Decline
"Friday, April 3, 2015",VF52813280,Return TIA
"Friday, April 3, 2015",VF52811190,Return TIA
"Friday, April 3, 2015",VF52811180,Return TIA
"Tuesday, April 7, 2015",VF52843900,Return TIA
"Tuesday, April 7, 2015",VF52846280,Return TIA
"Tuesday, April 7, 2015",VF52832340,Return TIA
"Tuesday, April 7, 2015",VF52802560,Decline
"Wednesday, April 8, 2015",VF52843080,Decline
"Thursday, April 9, 2015",VF52840770,Return TIA
"Thursday, April 9, 2015",VF52815980,Return TIA
"Friday, April 10, 2015",VF52838140,Return TIA
"Friday, April 10, 2015",VF52842230,Return TIA
"Monday, April 13, 2015",VF52841070,Return TIA
"Monday, April 13, 2015",VF52821820,Return TIA
"Monday, April 13, 2015",VF52846320,Return TIA
"Monday, April 13, 2015",VF52849160,Return TIA
"Monday, April 13, 2015",VP66168730,Return TIA
"Monday, April 13, 2015",VF52846330,Return TIA
"Tuesday, April 14, 2015",VF52838210,Return TIA
"Tuesday, April 14, 2015",VF52839550,Decline
"Wednesday, April 15, 2015",VF52817590,Return TIA
"Wednesday, April 15, 2015",VF52823570,Return TIA
"Wednesday, April 15, 2015",VF52838220,Return TIA
"Wednesday, April 15, 2015",VF52814630,Return TIA
"Thursday, April 16, 2015",VF52818090,Return TIA
"Thursday, April 16, 2015",VF52851030,Return TIA
"Thursday, April 16, 2015",VF52814650,Return TIA
"Monday, April 20, 2015",VF52853800,Return TIA
"Monday, April 20, 2015",VF52823320,Decline
"Monday, April 20, 2015",VF52830590,Return TIA
"Tuesday, April 21, 2015",VF52849040,Return TIA
"Tuesday, April 21, 2015",VF52844330,Return TIA
"Tuesday, April 21, 2015",VF52849430,Return TIA
"Tuesday, April 21, 2015",VF52851200,Return TIA
"Tuesday, April 21, 2015",VF52857010,Decline
"Thursday, April 23, 2015",VF52847630,Return TIA
"Thursday, April 23, 2015",VF52802410,Return TIA
"Thursday, April 23, 2015",VF52853790,Decline
"Friday, April 24, 2015",VF52847210,Return TIA
"Friday, April 24, 2015",VF52844540,Return TIA
"Friday, April 24, 2015",VF52847330,Return TIA
"Friday, April 24, 2015",VF52821100,Return TIA
"Friday, April 24, 2015",VF52853820,Decline
"Friday, April 24, 2015",VF52824610,Decline
"Friday, April 24, 2015",VF52838890,Decline
"Friday, April 24, 2015",VF52844620,Decline
"Monday, April 27, 2015",VF52853950,Return TIA
"Monday, April 27, 2015",VF52851130,Return TIA
"Monday, April 27, 2015",VF52831050,Return TIA
"Monday, April 27, 2015",VF52831060,Return TIA
"Friday, May 1, 2015",VF52848620,Return TIA
"Friday, May 1, 2015",VF52849030,Return TIA
"Friday, May 1, 2015",VF52823670,Return TIA
"Friday, May 1, 2015",VF52847360,Return TIA
"Friday, May 1, 2015",VF52847370,Return TIA
"Friday, May 1, 2015",VF52802540,Return TIA
"Friday, May 1, 2015",VF52802550,Return TIA
"Friday, May 1, 2015",VF52802530,Return TIA
"Friday, May 1, 2015",VF52848290,Decline
"Friday, May 1, 2015",VF52831030,Decline
"Monday, May 4, 2015",VF52846860,Return TIA
"Monday, May 4, 2015",VF52839000,Return TIA
"Monday, May 4, 2015",VF52852290,Return TIA
"Monday, May 4, 2015",VF52852020,Return TIA
"Monday, May 4, 2015",VF52827030,Return TIA
"Monday, May 4, 2015",VF52826960,Return TIA
"Monday, May 4, 2015",VF52826360,Return TIA
"Monday, May 4, 2015",VF52849890,Return TIA
"Tuesday, May 5, 2015",VF52855830,Decline
"Tuesday, May 5, 2015",VF52831040,Decline
"Tuesday, May 5, 2015",VF52791190,Decline
"Tuesday, May 5, 2015",VF52825260,Return TIA
"Wednesday, May 6, 2015",VF52823200,Return TIA
"Wednesday, May 6, 2015",VF52825960,Return TIA
"Thursday, May 7, 2015",VF52824140,Return TIA
"Thursday, May 7, 2015",VF52856670,Return TIA
"Thursday, May 7, 2015",VF52827180,Return TIA
"Thursday, May 7, 2015",VF52854310,Return TIA
"Friday, May 8, 2015",VF52856900,Return TIA
"Friday, May 8, 2015",VF52854460,Return TIA
"Friday, May 8, 2015",VF52830000,Return TIA
"Friday, May 8, 2015",VP66194520,Decline
"Friday, May 8, 2015",VF52838460,Decline
"Friday, May 8, 2015",VF52819070,Return TIA
"Monday, May 11, 2015",VF52802440,Return TIA
"Monday, May 11, 2015",VF52856810,Return TIA
"Monday, May 11, 2015",VF52831660,Return TIA
"Monday, May 11, 2015",VF52824290,Return TIA
"Monday, May 11, 2015",VF52827840,Return TIA
"Monday, May 11, 2015",VF52827850,Return TIA
"Monday, May 11, 2015",VF52824360,Return TIA
"Tuesday, May 12, 2015",VF52858910,Return TIA
"Tuesday, May 12, 2015",VF52846920,Decline
"Tuesday, May 12, 2015",VF52823820,Decline
"Tuesday, May 12, 2015",VF52851270,Decline
"Tuesday, May 12, 2015",VF52840610,Decline
"Tuesday, May 12, 2015",VF52855390,Decline
"Tuesday, May 12, 2015",VF52857510,Decline
"Tuesday, May 12, 2015",VF52859550,Decline
"Wednesday, May 13, 2015",VF52829100,Return TIA
"Wednesday, May 13, 2015",VF52829080,Decline
"Thursday, May 14, 2015",VF52831300,Return TIA
"Thursday, May 14, 2015",VF52834510,Decline
"Thursday, May 14, 2015",VF52854530,Decline
"Friday, May 15, 2015",VF52796230,Decline
"Friday, May 15, 2015",VF52860130,Decline
"Friday, May 15, 2015",VF52829260,Decline
"Friday, May 15, 2015",VF52848280,Decline
"Friday, May 15, 2015",VF52854140,Decline
"Friday, May 15, 2015",VF52859450,Decline
"Tuesday, May 19, 2015",VF52859130,Decline
"Tuesday, May 19, 2015",VF52824120,Decline
"Tuesday, May 19, 2015",VF52840560,Decline
"Wednesday, May 20, 2015",VF52845240,Return TIA
"Wednesday, May 20, 2015",VF52832230,Return TIA
"Wednesday, May 20, 2015",VF52835910,Return TIA
"Wednesday, May 20, 2015",VF52824650,Return TIA
"Wednesday, May 20, 2015",VF52848370,Decline
"Wednesday, May 20, 2015",VF52865540,Decline
"Wednesday, May 20, 2015",VF52845230,Decline
"Thursday, May 21, 2015",VF52836440,Return TIA
"Thursday, May 21, 2015",VP66187820,Return TIA
"Thursday, May 21, 2015",VF52840830,Return TIA
"Thursday, May 21, 2015",VF52834980,Return TIA
"Thursday, May 21, 2015",VF52854760,Decline
"Thursday, May 21, 2015",VF52867990,Decline
"Thursday, May 21, 2015",VF52869860,Decline
"Thursday, May 21, 2015",VF52847030,Decline
"Thursday, May 21, 2015",VF52861240,Decline
"Tuesday, May 26, 2015",VF52833340,Decline
"Tuesday, May 26, 2015",VF52839580,Decline
"Tuesday, May 26, 2015",VF52858460,Decline
"Tuesday, May 26, 2015",VF52859030,Decline
"Tuesday, May 26, 2015",VF52861350,Decline
"Tuesday, May 26, 2015",VF52849700,Return TIA
"Tuesday, May 26, 2015",VF52855320,Return TIA
"Tuesday, May 26, 2015",VF52836450,Return TIA
"Tuesday, May 26, 2015",VF52836090,Return TIA
"Tuesday, May 26, 2015",VF52854940,Return TIA
"Tuesday, May 26, 2015",VF52835900,Return TIA
"Tuesday, May 26, 2015",VF52859910,Return TIA
"Tuesday, May 26, 2015",VF52862200,Return TIA
"Tuesday, May 26, 2015",VF52838800,Return TIA
"Tuesday, May 26, 2015",VF52835250,Return TIA
"Tuesday, May 26, 2015",VF52832880,Return TIA
"Tuesday, May 26, 2015",VF52833380,Return TIA
"Tuesday, May 26, 2015",VF52855060,Return TIA
"Tuesday, May 26, 2015",VF52835410,Decline
"Tuesday, May 26, 2015",VF52832640,Return TIA
"Tuesday, May 26, 2015",VF52862120,Return TIA
"Wednesday, May 27, 2015",VF52835690,Return TIA
"Wednesday, May 27, 2015",VF52824760,Return TIA
"Wednesday, May 27, 2015",VF52836010,Return TIA
"Wednesday, May 27, 2015",VF52833240,Return TIA
"Thursday, May 28, 2015",VF52833230,Return TIA
"Thursday, May 28, 2015",VF52833220,Return TIA
"Thursday, May 28, 2015",VF52835560,Return TIA
"Thursday, May 28, 2015",VF52855620,Return TIA
"Thursday, May 28, 2015",VF52855370,Decline
"Thursday, May 28, 2015",VF52835410,Decline
"Thursday, May 28, 2015",VF52851850,Decline
"Thursday, May 28, 2015",VF52822730,Decline
"Thursday, May 28, 2015",VF52825270,Decline
"Thursday, May 28, 2015",VF52853260,Decline
"Thursday, May 28, 2015",VF52856780,Decline
"Thursday, May 28, 2015",VF52844960,Decline
"Thursday, May 28, 2015",VF52855510,Decline
"Thursday, May 28, 2015",VF52783660,Decline
"Thursday, May 28, 2015",VF52860160,Decline
"Thursday, May 28, 2015",VF52845880,Decline
"Thursday, May 28, 2015",VP66191390,Return TIA
"Thursday, May 28, 2015",VF52854830,Return TIA
"Thursday, May 28, 2015",VF52859410,Decline
"Friday, May 29, 2015",VF52833870,Return TIA
"Friday, May 29, 2015",VP66195590,Decline
"Friday, May 29, 2015",VF52862120,Return TIA
"Friday, May 29, 2015",VP66194400,Decline
"Monday, June 1, 2015",VF52850020,Return TIA
"Monday, June 1, 2015",VF52850000,Return TIA
"Monday, June 1, 2015",VF52861930,Return TIA
"Monday, June 1, 2015",VF52830530,Return TIA
"Monday, June 1, 2015",VF52839370,Return TIA
"Monday, June 1, 2015",VF52837480,Return TIA
"Tuesday, June 2, 2015",VF52827720,Decline
"Tuesday, June 2, 2015",VF52830790,Decline
"Tuesday, June 2, 2015",VF52844750,Decline
"Tuesday, June 2, 2015",VF52831150,Decline
"Tuesday, June 2, 2015",VF52855210,Decline
"Tuesday, June 2, 2015",VF52865480,Decline
"Tuesday, June 2, 2015",VF52869570,Decline
"Tuesday, June 2, 2015",VF52853570,Decline
"Tuesday, June 2, 2015",VF52859430,Decline
"Tuesday, June 2, 2015",VF52865210,Decline
"Tuesday, June 2, 2015",VF52869140,Decline
"Tuesday, June 2, 2015",VF52849020,Return TIA
"Tuesday, June 2, 2015",VF52836000,Return TIA
"Tuesday, June 2, 2015",VF52836080,Return TIA
"Tuesday, June 2, 2015",VF52833660,Return TIA
"Tuesday, June 2, 2015",VF52833860,Return TIA
"Tuesday, June 2, 2015",VF52849010,Return TIA
"Wednesday, June 3, 2015",VF52843460,Return TIA
"Wednesday, June 3, 2015",VF52843450,Return TIA
"Wednesday, June 3, 2015",VF52824540,Return TIA
"Wednesday, June 3, 2015",VF52830050,Return TIA
"Wednesday, June 3, 2015",VF52870790,Return TIA
"Wednesday, June 3, 2015",VF52854260,Decline
"Wednesday, June 3, 2015",VF52857410,Decline
"Wednesday, June 3, 2015",VF52854650,Decline
"Wednesday, June 3, 2015",VF52867660,Decline
"Thursday, June 4, 2015",VF52868470,Decline
"Thursday, June 4, 2015",VF52854660,Decline
"Thursday, June 4, 2015",VF52858720,Decline
"Thursday, June 4, 2015",VF52850350,Decline
"Thursday, June 4, 2015",VF52862880,Return TIA
"Friday, June 5, 2015",VF52840330,Return TIA
"Friday, June 5, 2015",VF52836850,Return TIA
"Friday, June 5, 2015",VF52830510,Return TIA
"Friday, June 5, 2015",VF52829290,Return TIA
"Monday, June 8, 2015",VF52844240,Decline
"Monday, June 8, 2015",VF52840490,Return TIA
"Monday, June 8, 2015",VF52841840,Return TIA
"Monday, June 8, 2015",VF52868540,Return TIA
"Monday, June 8, 2015",VF52840030,Return TIA
"Monday, June 8, 2015",VF52868680,Return TIA
"Monday, June 8, 2015",VF52868480,Return TIA
"Monday, June 8, 2015",VF52838090,Return TIA
"Monday, June 8, 2015",VF52836990,Return TIA
"Monday, June 8, 2015",VF52838100,Return TIA
"Monday, June 8, 2015",VF52840820,Return TIA
"Tuesday, June 9, 2015",VF52799450,Return TIA
"Tuesday, June 9, 2015",VF52865540,Return TIA
"Tuesday, June 9, 2015",VF52840620,Return TIA
"Tuesday, June 9, 2015",VF52841460,Return TIA
"Tuesday, June 9, 2015",VF52865300,Return TIA
"Tuesday, June 9, 2015",VF52841220,Return TIA
"Tuesday, June 9, 2015",VF52838200,Return TIA
"Tuesday, June 9, 2015",VF52855630,Decline
"Wednesday, June 10, 2015",VF52845740,Return TIA
"Wednesday, June 10, 2015",VF52837510,Decline
"Thursday, June 11, 2015",VF52842190,Return TIA
"Thursday, June 11, 2015",VF52865110,Decline
"Friday, June 12, 2015",VF52838320,Return TIA
"Friday, June 12, 2015",VF52844770,Return TIA
"Friday, June 12, 2015",VF52846200,Return TIA
"Friday, June 12, 2015",VF52831650,Return TIA
"Monday, June 15, 2015",VF52838230,Return TIA
"Monday, June 15, 2015",VF52845930,Return TIA
"Monday, June 15, 2015",VF52830600,Return TIA
"Monday, June 15, 2015",VF52842070,Return TIA
"Wednesday, June 17, 2015",VF52791460,Return TIA
"Wednesday, June 17, 2015",VF52848990,Return TIA
"Thursday, June 18, 2015",VF52870240,Return TIA
"Thursday, June 18, 2015",VF52842470,Return TIA
"Thursday, June 18, 2015",VF52830800,Return TIA
"Thursday, June 18, 2015",VF52841630,Return TIA
"Thursday, June 18, 2015",VF52868130,Decline
"Thursday, June 18, 2015",VF52861620,Excess Premium
"Friday, June 19, 2015",VF52796270,Return TIA
"Friday, June 19, 2015",VF52870190,Return TIA
"Friday, June 19, 2015",VF52846230,Return TIA
"Friday, June 19, 2015",VF52871320,Return TIA
"Friday, June 19, 2015",VF52869500,Return TIA
"Friday, June 19, 2015",VF52830490,Return TIA
"Monday, June 22, 2015",VF52844570,Return TIA
"Monday, June 22, 2015",VF52844050,Return TIA
"Monday, June 22, 2015",VF52830970,Return TIA
"Tuesday, June 23, 2015",VF52844650,Return TIA
"Tuesday, June 23, 2015",VF52848040,Return TIA
"Tuesday, June 23, 2015",VF52871890,Return TIA
"Tuesday, June 23, 2015",VF52873770,Return TIA
"Wednesday, June 24, 2015",VF52848680,Return TIA
"Wednesday, June 24, 2015",VF52869540,Return TIA
"Thursday, June 25, 2015",VF52831180,Return TIA
"Thursday, June 25, 2015",VF52831190,Return TIA
"Thursday, June 25, 2015",VF52845890,Return TIA
"Friday, June 26, 2015",VF52847590,Return TIA
"Monday, June 29, 2015",VF52847580,Return TIA
"Monday, June 29, 2015",VF52871800,Return TIA
"Monday, June 29, 2015",VF52873750,Return TIA
"Monday, June 29, 2015",VF52872770,Return TIA
"Tuesday, June 30, 2015",VF52851160,Return TIA
"Tuesday, June 30, 2015",VF52871500,Return TIA
"Tuesday, June 30, 2015",VF52871770,Return TIA
"Tuesday, June 30, 2015",VF52871780,Return TIA
"Tuesday, June 30, 2015",VF52867310,Return TIA
"Tuesday, June 30, 2015",VF52832350,Return TIA
"Tuesday, June 30, 2015",VF52859330,Return TIA
"Tuesday, June 30, 2015",VF52870340,Return TIA
"Tuesday, June 30, 2015",VF52852710,Decline
"Wednesday, July 1, 2015",VF52850890,Return TIA
"Wednesday, July 1, 2015",VF52874450,Decline
"Wednesday, July 8, 2015",VF52849170,Return TIA
"Wednesday, July 8, 2015",VF52852520,Return TIA
"Wednesday, July 8, 2015",VF52849840,Return TIA
"Wednesday, July 8, 2015",VF52853200,Return TIA
"Wednesday, July 8, 2015",VF52854790,Return TIA
"Wednesday, July 8, 2015",VF52854800,Return TIA
"Wednesday, July 8, 2015",VF52860120,Return TIA
"Wednesday, July 8, 2015",VF52878370,Return TIA
"Friday, July 10, 2015",VF52853810,Return TIA
"Friday, July 10, 2015",VF52878020,Return TIA
"Friday, July 10, 2015",VF52881300,Return TIA
"Friday, July 10, 2015",VF52841810,Return TIA
"Tuesday, July 21, 2015",VF52865840,Decline
"Tuesday, July 21, 2015",VF52880310,Decline
"Wednesday, July 22, 2015",VF52855310,Return TIA
"Wednesday, July 22, 2015",VF52880760,Return TIA
"Wednesday, July 22, 2015",VF52875260,Return TIA
"Thursday, July 23, 2015",VF52867810,Decline
"Thursday, July 23, 2015",VF52865680 ,Decline
"Thursday, July 23, 2015",VF52881060,Decline
"Thursday, July 23, 2015",VF52858500,Return TIA
"Thursday, July 23, 2015",VF52845170,Return TIA
"Thursday, July 23, 2015",VF52880730,Return TIA
"Thursday, July 23, 2015",VF52880290,Return TIA
"Thursday, July 30, 2015",VF52884340,Decline
"Friday, August 7, 2015",VF52833010,Decline
"Thursday, January 21, 2016",VF52898470,Excess Premium
"Tuesday, March 1, 2016",VF52932430,Excess Premium
"Wednesday, March 16, 2016",VF52965510,Decline
"Wednesday, March 16, 2016",VF52937940,Return TIA
"Friday, March 18, 2016",VF52964470,Excess Premium
"Friday, March 18, 2016",VF52955960,Excess Premium
"Friday, May 6, 2016",VF52962470,Excess Premium
"Monday, June 6, 2016",VF52985990,Decline
"Monday, June 6, 2016",VF52980950,Decline
"Monday, June 6, 2016",VF52986600,Decline
"Tuesday, June 7, 2016",VF52990230,Decline
"Tuesday, June 7, 2016",VF52947170,Return TIA
"Tuesday, June 7, 2016",VF52980860,Return TIA
"Tuesday, June 7, 2016",VF52966760,Return TIA
"Wednesday, June 8, 2016",VF52948370,Decline
"Friday, June 10, 2016",VF52974220,Decline
"Friday, June 10, 2016",VF52988710,Decline
"Friday, June 10, 2016",VF52988730,Decline
"Friday, June 10, 2016",VF52988740,Decline
"Tuesday, June 14, 2016",VF52990010,Return TIA
"Tuesday, June 14, 2016",VF52986870,Return TIA
"Monday, June 20, 2016",VF52974980,Decline
"Monday, June 20, 2016",VF52996480,Decline
"Monday, June 20, 2016",VF52985720,Decline
"Monday, June 20, 2016",VF52956170,Return TIA
"Monday, June 20, 2016",VF52987290,Return TIA
"Monday, June 20, 2016",VF52977660,Return TIA
"Monday, June 20, 2016",VF52988200,Return TIA
"Tuesday, June 21, 2016",VF52956200,Return TIA
"Wednesday, June 22, 2016",VF52989690,Decline
"Wednesday, June 22, 2016",VF52997400,Decline
"Friday, June 24, 2016",VF52986220,Decline
"Friday, June 24, 2016",VP66252180,Decline
"Friday, June 24, 2016",VF52973080,Decline
"Friday, June 24, 2016",VF52966150,Decline
"Friday, June 24, 2016",VF52974070,Decline
"Monday, June 27, 2016",VF52953270,Decline
"Monday, June 27, 2016",VF52948710,Decline
"Tuesday, June 28, 2016",VF52992570,Return TIA
"Tuesday, June 28, 2016",VF52987180,Return TIA
"Tuesday, June 28, 2016",VF52993460,Return TIA
"Tuesday, June 28, 2016",VF52992600,Return TIA
"Tuesday, June 28, 2016",VF52993150,Return TIA
"Tuesday, July 5, 2016",VF52993440,Decline
"Tuesday, July 5, 2016",VF52974470,Return TIA
"Wednesday, August 3, 2016",VF52996310,Decline
"Wednesday, August 3, 2016",VF52992580,Decline
"Wednesday, August 3, 2016",VF53005000,Decline
"Wednesday, August 3, 2016",VF53000840,Return TIA
"Wednesday, August 3, 2016",VF52978130,Return TIA
"Wednesday, August 3, 2016",VF52985760,Return TIA
"Thursday, August 4, 2016",VF53004920,Decline
"Thursday, August 4, 2016",VF52997050,Decline
"Thursday, August 4, 2016",VF52991840,Return TIA
"Thursday, August 4, 2016",VF52986480,Return TIA
"Thursday, August 4, 2016",VF52986230,Return TIA
"Friday, August 5, 2016",VF52985900,Return TIA
"Friday, August 5, 2016",VF52979240,Return TIA
"Friday, August 5, 2016",VF52959630,Decline
"Friday, August 5, 2016",VF52976340,Decline
"Tuesday, August 9, 2016",VF52993110,Decline
"Tuesday, August 9, 2016",VF52990270,Decline
"Tuesday, August 9, 2016",VF52994120,Decline
"Tuesday, August 9, 2016",VF53007290,Decline
"Tuesday, August 9, 2016",VF52988960,Decline
"Tuesday, August 9, 2016",VF52980100,Decline
"Wednesday, August 10, 2016",VF52991240,Decline
"Wednesday, August 10, 2016",VF53000180,Decline
"Thursday, August 11, 2016",VF53003310,Decline
"Friday, August 12, 2016",VF53000720,Decline
"Friday, August 12, 2016",VF53004370,Return TIA
"Friday, August 12, 2016",VF53004670,Return TIA
"Tuesday, August 16, 2016",VF52980340,Decline
"Tuesday, August 16, 2016",VF53006440,Decline
"Thursday, August 18, 2016",VF53006120,Return TIA
"Thursday, August 18, 2016",VF53000540,Return TIA
"Thursday, August 18, 2016",VF53003520,Return TIA
"Friday, August 19, 2016",VF52985780,Return TIA
"Friday, August 19, 2016",VF52974170,Return TIA
"Friday, August 19, 2016",VF52989270,Return TIA
"Friday, August 19, 2016",VF53004860,Return TIA
"Friday, August 19, 2016",VF52993060,Return TIA
"Friday, August 19, 2016",VF52984200,Return TIA
"Friday, August 19, 2016",VF53015530,Return TIA
"Friday, August 19, 2016",VF52987010,Return TIA
"Friday, August 19, 2016",VF52987930,Return TIA
"Friday, August 19, 2016",VF53003730,Return TIA
"Thursday, September 1, 2016",VF52995050,Decline
"Thursday, September 1, 2016",VF53008140,Decline
"Thursday, September 1, 2016",VF53001020,Decline
"Thursday, September 1, 2016",VF53001010,Decline
